Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
17-002,0.0822452317568803,0.00695422333369162,0,0.294626271879151,0,0.0240051289068137,0.04114167741721,0.00112466263164692,0.00928145713429945,0.00355165414218226,0.0655873504334776,0.0818393912764002,0.330166934413692,0,0,0.0292879439509607,0,0.00909200206669726,0.0151016492597065,0.00146848123734322,0,0.00452594015984679,0,0.804149931771982,0.653087032448537
17-006,0.0310916768193665,0.00906105031579683,0,0.330288184237874,0.0261202471493163,0.133751965308663,0.0314136321960265,0.0407109029756539,0.0744020557494317,0,0.0700446203809877,0.0172235547723866,0.176302922079737,0.00761121722498459,0.00242298614525596,0.0191045768638486,0,0.00621112091864859,0.0179469921341308,0.00210831539776596,0,0.00418397933012515,0,0.814288548852199,0.63990560156477
17-019,0.108526315565345,0,0,0.16548420756153,0,0.151843381862469,0.00472325470646182,0,0.00109592395062492,0.0393569577092276,0.237549927736366,0.0391576364727804,0.222224638324475,0,0,0.0135120024554639,0,0.00566303499921582,0.0108627186560408,0,0,0,0,0.877481694118853,0.559022790913305
17-023,0.0784564732363082,0.00591401819359852,0,0.0874048037854127,0,0.211299233898308,0,0.0193234343484231,0.0347132433477994,0,0.0370078121134579,0.0769951550923048,0.393837177714893,0.0102085270472031,0,0.015859146202562,0,0.00780557549126304,0.0185171873769142,0,0,0.00265821215155163,0,0.822584921197054,0.65054491538202
17-026,0.032391678430897,0.0588423567336132,0,0.338890848170304,0.00344339282847606,0.026819608483089,0.0305544095180682,0.00463818395160782,0.00910925708754604,0,0,0.0691900931973803,0.368648058374667,0.0062323763945974,0,0.0235859343644805,0,0.00695383675684192,0.0206999657084318,0,0,0,0,0.803843166915974,0.659501824286551
17-027,0.0653123860965607,0.0326077126754278,0,0.308178267596144,0.0551629120440287,0.027637536798961,0.0167416206619268,0.00583493662880621,0.0198945189058951,0.000840171770187326,0.0389134832285335,0.0738671364239052,0.302109597454508,0,0,0.0221307734628531,0,0.00611692839106607,0.0228603750390192,0.00179164282217726,0,0,0,0.837599720988367,0.630467189974028
17-030,0.0163625874179046,0.0475850937321271,0,0.254230908542257,0.00309282928939233,0.0499766995327137,0.0225247246084463,0.00605148780164537,0.0100117856747836,0.126112107832879,0.0635364294908973,0.0626649191943725,0.292156043134587,0,0,0.0188055897589409,0,0.00563257617700703,0.0212562178120454,0,0,0,0,0.87025465842996,0.578963453543713
17-034,0.0637653727596862,0,0,0.111076199036721,0.128701156097476,0.10766616144408,0.034394158500194,0,0,0,0.0799878409956271,0.0436000402017202,0.379582334401294,0,0,0.022611712673006,0,0.0050674959025524,0.0235475279876425,0,0,0,0,0.844596433978957,0.634697603140317
17-040,0.0853658084023645,0,0,0.19476110180744,0,0.0465049429530106,0.066143249762628,0.0267238536330166,0.0447233683260452,0,0,0.120473550264146,0.330193436923367,0.00328027318013544,0,0.0280058581879477,0,0.0104336937447686,0.0409639718169206,0,0,0.00242689099820891,0,0.753642016157276,0.705317860302684
17-041,0.0421071021024443,0.0142442568901523,0,0.140057299687987,0.145870143481672,0.191867441397719,0.0419754295826673,0,0,0.0103150315329441,0.0674453710502994,0.100604184027647,0.190384408275831,0,0,0.0243099608154668,0,0.00867473193144823,0.0215711366212608,0,0.00057350260246056,0,0,0.829699922615591,0.628795254704026
17-042,0.0064299327668287,0.00224737272836476,0,0.0918831627503755,0.0115301647399286,0.0165471619347986,0.0641822511701837,0.00739011380566702,0,0.0216362147908351,0.0538796663504739,0.0971692620928926,0.562903525155513,0,0,0.034957290698654,0,0.00705176169179087,0.0221921193236936,0,0,0,0,0.810300950766676,0.626095018285581
17-043,0.0241099963711009,0.0233222530094041,0,0.168169009618357,0.0936417518153869,0.233017740220126,0.0301296298589997,0,0,0,0.0690358913684872,0.103542874977932,0.207565185899113,0,0,0.0217809408522244,0,0.00748150702185763,0.01737961629457,0,0.000823602692441227,0,0,0.818006544603259,0.634697631282442
17-045,0.0599821168099823,0.0269358433892771,0,0.183082712492365,0.156769373860969,0.229898841827131,0.0126956155002441,0,0,0.0396417476910608,0,0.0598028954530615,0.182957495169368,0,0,0.0177260351365282,0,0.00321877030183148,0.0272885523681822,0,0,0,0,0.848265373453425,0.614361852745514
17-047,0.0462484687256319,0.0158055987897326,0,0.200225701190742,0.169715765996613,0.0889106889298788,0.042568409594496,0.00758597444655083,0.0109902422634625,0,0.100766085768434,0.121100595800887,0.144380775513601,0,0,0.0235049211587693,0,0.00744734880704148,0.018749927839329,0.00192459495922933,7.49002156004432e-05,0,0,0.758488080305945,0.675802775673112
17-054,0.0754861351862871,0.034234950047868,0,0.164712675575268,0.148449825880335,0.18115082654834,0.0340566786290716,0.0147654073027378,0.0209924540515962,0,0.00325360083177211,0.054842877328014,0.217541682299136,0,0,0.024359966831693,0,0.00767678627024192,0.00153227743990648,0.0141138616233652,0.00282999415436803,0,0,0.807220215087177,0.663188700216284
17-055,0.0337562639998761,0.00264194407147115,0,0.077915718884486,0.0398777681519732,0.199909404444178,0.0222128485727321,0,0.0155830371342547,0,0.0647654357770453,0.0403125967768614,0.45583270335833,0.00416254294252488,0,0.0160866174903268,0,0.00598204996167375,0.0120540191615278,0.00725132883629291,0,0.00165572043644633,0,0.823380996578345,0.641907444930472
17-057,0.0550891068761133,0.0075065780903316,0,0.509574624704068,0.0844476259529257,0.0185182731373811,0.0378227580088523,0.0185302470414795,0.0394437019917995,0,0.00948524329606748,0.0406440456219249,0.128994005978683,0.00164728291015355,0,0.0235333397597311,0,0.00688710896884099,0.0126865268433059,0.00249534909932569,0,0.00269418171901602,0,0.775747991982715,0.656244524368409
17-058,0.0614852143896217,0.0246952767970867,0.000773996573709201,0.309666796590895,0.179256012392213,0.0804141105629349,0.0267687043411254,0.0236819368034316,0.0469971220903097,0,0.0165138509002656,0.0263226833107139,0.14174124995485,0,0,0.0195683310874425,0.000750688437488402,0.00654153267027449,0.0314482294051367,0,0.00200784783533546,0.00136641585716653,0,0.78866502823258,0.66230558875948
17-060,0.0532615758711988,0,0,0.250761852660302,0.0244750239045426,0.0954036032308733,0.0667904462282055,0.00871215303352757,0.0152082891951638,0.0894407547876823,0.00336962992470377,0.0614918554217125,0.303844045668533,0,0,0.00361398817937329,0,0.00890038150841811,0.00578918477319282,0.00730207460880075,0,0.00163514100376968,0,0.819419011635765,0.639119021848843
17-061,0.0468778150545191,0,0,0.239555836536518,0.0748928496246946,0.0845060568376207,0.04204458500004,0,0.0429554511255958,0.0856512152037692,0,0.101223601234999,0.235510318419546,0.00510047767734054,0,0.0206286728493822,0,0.00813608503532435,0.00883486157986825,0.00408217382078259,0,0,0,0.785904066932947,0.661246757543261
